mrp_id	record_id	name	cms_status	marketplace_status
58d958d8aa920d0720991e18	rectnB8iSmjFSIaSD	Portfolio Wireframe Archived fmnfi4xf	Draft	4️⃣Delisted☠️
596d1fb9f1d417016962d08d	recgcoYWjP8ybqs4j	Omega	Active	3️⃣Published🚀
596d219e1a8505679b2fc516	reclmOHcbPn38lMLA	Medical	Active	3️⃣Published🚀
596d2286592fec0e946831ac	recVdzRaNLCdsyZFl	Beauty	Active	3️⃣Published🚀
596d23594308d46013a33de3	recHnZBAt4KCgEMCw	Spazio	Active	3️⃣Published🚀
596d24a11a8505679b2fc5a1	reccAIJJeyGsjmQrM	NewVision	Active	3️⃣Published🚀
596d2560caac727fda24d463	reclRFE3A8LRSIKea	Corp	Active	3️⃣Published🚀
598ab6c522e8860001ad238e	recx9rKB74YZwH804	Default Archived 1a0n8kok	Draft	4️⃣Delisted☠️
5c3df86efa928d6a1619b9af	recCjhSxfXtqJPe8A	Haven	Archived	4️⃣Delisted☠️
5d151fca8b8f925310854933	recRSKdfXNGZ7VoPD	Quadra Archived 25tq5wvf	Archived	4️⃣Delisted☠️
5d3b2e178474c4d5ec1dab14	rec7K3DkVGkxSWhjP	Enigma	Archived	4️⃣Delisted☠️
5dc5f26f52f69fdcd88307f1	recSSJgzKyuieVGYy	Luma Archived 8w8pffin	Archived	4️⃣Delisted☠️
5dc5f515d6571e104cb78705	recdgFWHvnrzWJL10	Grit Archived w8hn5i7g	Archived	4️⃣Delisted☠️
5e973471bea30e4fae1abee9	reciKMB1XIuinfoqW	SendBox	Archived	4️⃣Delisted☠️
5ee10e4b1a45f13922029177	recG7Mm8Hf8XfoXcl	Educare	Active	3️⃣Published🚀
5f2981b54c06ecaaff4a4861	recX9oq2VMZXVT6ug	Artboard	Archived	4️⃣Delisted☠️
5f6138de85b5d593a5d1460e	recErulmBOLAFl3ym	Heyday	Active	3️⃣Published🚀
5f6c8781ad3df0da9f31f3a4	recdjgtwlyANRVCCN	Superb Archived 6bnd0kjj	Archived	4️⃣Delisted☠️
5f88d2614e6c5948d86de682	rec6AJFJjv06rxImv	Tiempos Archived k116lbg3	Archived	4️⃣Delisted☠️
5f99558d34a5da0cd90363f6	recT38sA4kbi4bKsR	Eczar Archived 9tua9fhl	Archived	4️⃣Delisted☠️
607782312c0c2c57345e66ba	recxL8OAKUJA23tta	HandMade Archived 7bc4u98f	Archived	4️⃣Delisted☠️
607a1a4a3f1b34339c2a2cef	recTWoW1nXoed7xyc	Compacted Archived updn1qis	Archived	4️⃣Delisted☠️
6089cf1ec8a13b63a2a083be	recFoKsgnopXMFoDw	Selly Archived kffn0ugl	Archived	4️⃣Delisted☠️
60ecde86d9a751211a62edc9	recF1I2GSnI6YoWRv	Tattoo	Active	3️⃣Published🚀
60f798aaf7b2081681e3645a	recbZPvzK7xQ7BZWx	On&On Archived eolmmau0	Archived	4️⃣Delisted☠️
60f7998fe2555668681be016	recyxoPhWvp6ueJDj	Joy Archived wk8vas3u	Archived	4️⃣Delisted☠️
60fa157eb7bab640db992b74	recmW1kSbP0UFv3bG	Nextgen	Archived	4️⃣Delisted☠️
612eab87c22174c0285e549f	recN86iG8A92ouZKp	Sleeq Archived 0iil83kg	Archived	4️⃣Delisted☠️
614de10941b97dda1175fc58	recAclycPbG7Q2mim	Nicole Nelson Archived rpmxl48x	Archived	4️⃣Delisted☠️
61e0afa4f697ce1415587c27	rec9CpnlZA5xnJm9a	Rela Archived bjoitfks	Archived	4️⃣Delisted☠️
621967f59121fe91daa510ef	recUqxiUMm9rD7KzT	Church 128 Archived 7atgmk8n	Archived	4️⃣Delisted☠️
624f4dbf264827850c9b424b	reclnHdPTjpuZrG6m	Swipe	Archived	4️⃣Delisted☠️
62db125dee95fd4fbd726cce	recpnMSlMRcN2ss4U	Artisan	Archived	4️⃣Delisted☠️
62e9ebef85432009faf2da49	recPXZUtoMAPpftr5	Amy Archived jypcw4b9	Archived	4️⃣Delisted☠️
630e15229f2fad7de3f6c9aa	recafOQJrJNvBbeRQ	Startfy Archived 290kzbr2	Archived	4️⃣Delisted☠️
6313c8c7bfb65a1f5e71c35d	recWzF7yXiNiUoaiG	Jacob Archived 097yglyg	Archived	4️⃣Delisted☠️
631b772024aeeb5cc4e207d2	recjXzjGFGPLeWn6h	Sook Archived hzraw7cm	Archived	4️⃣Delisted☠️
631b78e537f37afc6ac632a8	recDyE04o3EbmxwKo	Inner Archived 3qjnw14w	Archived	4️⃣Delisted☠️
631fa6cb4fe34bd19bc6b2c7	recA1OJOdPvoAgXSz	Softkit	Archived	4️⃣Delisted☠️
6320b2a7653788b91dae78d7	recztzp5RupBEXY6X	Mieh	Active	3️⃣Published🚀
6334e8832918e29889aeddd7	recjkXDm7twCoGMIb	Growfy Archived ixffe0ia	Archived	4️⃣Delisted☠️
6347505d6df7373e4fd9c529	recVnEJwB3kI0tDzw	GoRead Archived eaupuhwb	Archived	4️⃣Delisted☠️
6386d7dcc6141967237d5aeb	recaFRM9uAhMhvPai	Portrait Archived qzzgx1ch	Archived	4️⃣Delisted☠️
639795adaf0a7591e16b5831	recLotPL9d8FH5G7a	Nextfy Archived g0rfgmnx	Archived	4️⃣Delisted☠️
63ac783f5bfef4059c9e736d	rec503uwn85DXBqeR	Adorn	Archived	4️⃣Delisted☠️
63add720e1d3f1f97bba049a	recnKP2G2gf0Aa7yA	Study Archived fqktejxr	Archived	4️⃣Delisted☠️
63aefa3d32bfdb7ed53f6651	recSh5aXlTbri6CXp	Calvin Archived eln53jba	Archived	4️⃣Delisted☠️
63b4eac34fd227360d629161	rec4IWwVTPYLcK4Wh	Mooy Archived cqj29sot	Archived	4️⃣Delisted☠️
63b9e13da5f15fc8d8681961	rec1l69i2RARkHmRq	Sasky Archived t9hfb1u1	Archived	4️⃣Delisted☠️
63becffb5dd90a84dbafa154	recY72gPA2AwXF29J	Duku Archived l2wtkvwv	Archived	4️⃣Delisted☠️
63bed51bbd2de302a885e4b9	recCfwfGrNdg92TDF	Nancy Archived 7jlr4vgq	Archived	4️⃣Delisted☠️
63c4a63259c35a592d42326a	rechwT7nEzEbQalCv	P. One Archived aqny22tk	Archived	4️⃣Delisted☠️
63cab966d6290e82eeea479a	recBj3eAQSufuft49	Tonia Archived 6h8nk5xr	Archived	4️⃣Delisted☠️
63d3f89a603ba19795db2b70	recsgm7ZfjMPPia8J	Mansk Archived a6d094yi	Archived	4️⃣Delisted☠️
64133da22d3c100c0ac00900	rec7hcSkw0NNmEv3l	Mobify Archived k6p3m44w	Archived	4️⃣Delisted☠️
642d7f45fbf2c5728951ce18	recwc81h8b8rzkaAt	IBCC Archived lx2ep34k	Archived	4️⃣Delisted☠️
642f0d5c2509bfff0f69fb74	recGxMce2FTcYaAdh	Neuman Archived t369axpo	Archived	4️⃣Delisted☠️
6447f18cc5e1ca00825b712d	recd3bBoDrJXqh8tB	Wejoy Archived 9meocrj1	Archived	4️⃣Delisted☠️
64528b4af56d2a32239d7bda	recXMgQjXYAp0NCgu	Minifolio Archived eoyz7mq8	Archived	4️⃣Delisted☠️
6476415f8a2848bea7cb3a37	recoX2e6oTtVGpRR7	Pixart Archived ui0oxu56	Archived	4️⃣Delisted☠️
6491fc23789eef3bea9af361	recAd7Uj47PujJQii	Xchool Archived kyfayvx3	Archived	4️⃣Delisted☠️
649b1327c5ceeacc174935c1	rec19ZUiUCd4CwRdt	Bobby Archived j4n2o3s6	Archived	4️⃣Delisted☠️
64a855b99ddd393cd63fdbb2	recQ2miy3h5aJbmEv	Showme Archived zutg6epz	Archived	4️⃣Delisted☠️
64b5a2f1d48b7aea670913ac	recZJHOqi0kcOjCwb	Emily Archived 623nmhrx	Archived	4️⃣Delisted☠️
6525813b1c99b411fb3d14db	recoTJld4oBGAT984	Daniel Archived 0s9ltfef	Archived	4️⃣Delisted☠️
656622ca10fc3c9ee2742f01	recnRK5TnEtMCfwyH	Bloc Archived 1wfhn02p	Archived	4️⃣Delisted☠️
6581fbdb16fb84a1d174c647	recjuv3HqkPuwv1MX	Pebbles Archived dycpg2xs	Archived	4️⃣Delisted☠️
658b3282d49e2dd34f0abaca	recWN70Q70o3sINVj	Scapes Archived i599acnb	Archived	4️⃣Delisted☠️
65ae732f1d4812f6ca2a112d	recL0enfLi9G9kFVz	Lancaster Business Archived g4zagn71	Archived	4️⃣Delisted☠️
65b78d7293f5dbaf08ae2983	recd0mii0uC6lM3GW	Lumar	Active	3️⃣Published🚀
65c54437cd5d4f8d804aa75b	rec4ctrs23IESshXM	Strive Archived n4umxr66	Archived	4️⃣Delisted☠️
65d4b2f9eff1bcae58e5a865	reclgcQ7MuXWgRPRf	Luxfolio Archived 9q1rrg3a	Archived	4️⃣Delisted☠️
65e60177240baa499f01d853	recdaXjQ2yP8s9gXu	Fineart Archived fha8skpu	Archived	4️⃣Delisted☠️
65eb43bd0c55ea4b5dbbc00f	recEv9ylDbcoPKtD3	Thrive	Active	3️⃣Published🚀
65efbe032296300f6cdd8e21	recgi2afLkvmfKhkk	AGENCIFY Archived aq8mlefs	Archived	4️⃣Delisted☠️
65f1c0cc1abdcd6b1afe5cb1	recSWt8VatXAo1DJE	Audio Archived sb8yknwi	Archived	4️⃣Delisted☠️
65f91b28f88aa3d2d1774ec8	recPcRu08SUQLF20B	Urban Burst Archived tle929vq	Archived	4️⃣Delisted☠️
65fba53c0a0906bf3bcbbeb1	recqDybzatQReq2zI	Cloudpipe Archived fbbtrc9f	Archived	4️⃣Delisted☠️
660615d090a75717b75ecba2	recRTZJRvvaoFOnA4	CreativeGrid	Active	3️⃣Published🚀
66158963c3752075e71840ee	recbeblZg2gNpw8XC	Sprintify Archived y7uuq35f	Archived	4️⃣Delisted☠️
66273fa57113f7238d89c04a	recG9v2qeCdiUQVzz	Impress	Active	3️⃣Published🚀
66280a1f0ee298c273bb8908	recOAlq1gcuSEHbUq	Merida	Active	3️⃣Published🚀
663746ec5c9456ac0652fbd2	recsCCErudHloOoUn	Astera	Active	3️⃣Published🚀
66560e6e6654800c0bebd9c0	recLmSXbvdRty3ySn	FlowUp Team Archived xy7q3tfk	Archived	4️⃣Delisted☠️
66588115f0ffeff8a938cbf4	recMNrI5uwYIO2w9S	Accurex Archived 15u9tgox	Archived	4️⃣Delisted☠️
6661bc8ab0debe3a63c1d1f9	recA8IfHy6glkuPjb	Organiccc Archived fr3fxwgh	Archived	4️⃣Delisted☠️
66705e5bd2cb023480ef6762	rechmeakMlWb3gMib	Craftflow Design Archived nyfoxhmy	Archived	4️⃣Delisted☠️
6675dbd5b294bddecf3647af	recaMjDGsJw7URBHS	Beyoutiful Archived lmwl8fen	Archived	4️⃣Delisted☠️
6675dca0bfca9ddd9a5b5934	reciIbNNAXoJTR78S	Transformer Archived kkqjd2ur	Archived	4️⃣Delisted☠️
66897cf890cf0d517831bd3c	recXfYQSlEQC9Xpx0	Breathe Archived e12gva85	Archived	4️⃣Delisted☠️
6689ce8e013a3dee59f49ea3	recRO0hZf36tCnNg1	Sprynt Archived dozg0m71	Archived	4️⃣Delisted☠️
669016504311adaf7aeb638d	rec50up2U0wS45EEr	Dog Walker	Archived	4️⃣Delisted☠️
669e0d114ce0dc5c90577313	rec7AyBUvKWYO1twd	SkyLine Archived 6xyd7ak4	Archived	4️⃣Delisted☠️
66c8c5afaf298acac5f09af5	recIstuoImJpyl9Pj	Lullaby Archived d5p2sbn3	Archived	4️⃣Delisted☠️
66cac7c03f547651fd06ab80	recIRgF3vERSivqw3	spark. Archived p23yfiv0	Archived	4️⃣Delisted☠️
66d0336c5e57e81db5f0fd74	recpIptrIhhYWO0UY	LeBon Studio Archived o9ggsfqr	Archived	4️⃣Delisted☠️
66d9aa437249875d5ffdf92f	rec1YOaQAY0kopz7P	Enhance. Archived e8ukuluo	Archived	4️⃣Delisted☠️
66da21577747a36774e8060b	recZRmUED6XICUtPM	Buatti	Archived	4️⃣Delisted☠️
66fac6c5c15e596321034102	rec6W2U4tALOnBlCX	Zenova Archived yjwu9mux	Archived	4️⃣Delisted☠️
66fe0366413ca5df77dfb47a	recbEKg9pSdxyg5BM	Sawad Basic Archived qlw9y1g0	Archived	4️⃣Delisted☠️
670c9542bc6a2c73a559c559	recwDGyS2EHnx4oNE	NajmAI Basic Archived 9hx1v5b7	Archived	4️⃣Delisted☠️
670dfe25454c31f64bcb7e8c	recwqkA8eKv92yN4K	Elevator Archived 2s8hwopa	Archived	4️⃣Delisted☠️
670e0138ee398bfb0770a77b	recfA3kyfDwkZ3NWM	IdolVerse Archived bwq8xyb7	Archived	4️⃣Delisted☠️
671b99716fa6c5c897dd10fa	recJ2WuZKpuaRQ35F	Momento Archived zxy2sodd	Archived	4️⃣Delisted☠️
671dbfec8c5f3365de17af2b	recQmOHjIcPNaYqMY	Motion Studio Archived knu4cqss	Archived	4️⃣Delisted☠️
67339cb903bad512968f8d79	recM8g6A3iJdEUqSq	Supra99 Archived kra05i9d	Archived	4️⃣Delisted☠️
674bc2cbccb086b346509cb4	recRYQx1Q0jcrsub9	Nourish99 Archived nmft6zp0	Archived	4️⃣Delisted☠️
6754b8908b1bc1cfa3a5a591	recrJBtZWOHxxqL7u	Mariana Archived z5eeg0cw	Archived	4️⃣Delisted☠️
6758676d13c77f9240ccd32a	recHr78ky876p5WYB	Fortune. Archived qo5jvhuo	Archived	4️⃣Delisted☠️
67586d367ce2f2e55fad8ff9	recVCUJDjA5oAPLAX	Fuse Archived kd90tct6	Archived	4️⃣Delisted☠️
675b0a6532f686c6a13027d9	recscYuUqqXnYLuUE	Prime99 Archived fyt1yler	Archived	4️⃣Delisted☠️
675b0e4a89a0be51f39c1463	recHksyKYqTKjT5xZ	Evora Archived wqehnpzj	Archived	4️⃣Delisted☠️
6760ece679f9b04bbac9dd38	rec3OcjaFxtBqg9tm	LS Cosmetics Archived mdfh43mj	Archived	4️⃣Delisted☠️
6774433073d35d83994c3be2	rectRNlwWPrv0V0V1	Kisetsu Archived jmqfoq6u	Archived	4️⃣Delisted☠️
67819d053a0d3d111b142676	recdprx0qhQCWGCec	Flare99 Archived n59bt8u5	Archived	4️⃣Delisted☠️
6789d62d4943a79d82e498d1	recGVgqxVE7DFL52Y	InspireX Archived i9cku0f5	Archived	4️⃣Delisted☠️
6796d6b5ea216778f93045ce	recTWxTQZ2Dcw1zpq	Stratus Archived 8kz4jnjp	Archived	4️⃣Delisted☠️
687dd431b7a61fed552c02dd	recrKFq9geVcNmzRt	Kread	Archived	4️⃣Delisted☠️
